rid,llid,mode,fix,satused,pdop,hdop,vdops1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
46,47,A,3,8,2.29,1.22,1.93,25,19,24,12,32,22,02,06,,,,
47,48,A,3,8,2.28,1.22,1.93,25,19,24,12,32,22,02,06,,,,
48,49,A,3,8,2.28,1.22,1.93,25,19,24,12,32,22,02,06,,,,
49,50,A,3,8,2.28,1.22,1.93,25,19,24,12,32,22,02,06,,,,
50,51,A,3,8,2.28,1.22,1.93,25,19,24,12,32,22,02,06,,,,
51,52,A,3,8,2.28,1.22,1.93,25,19,24,12,32,22,02,06,,,,
52,53,A,3,8,2.28,1.22,1.92,25,19,24,12,32,22,02,06,,,,
53,54,A,3,8,2.28,1.22,1.92,25,19,24,12,32,22,02,06,,,,
54,55,A,3,8,2.27,1.22,1.92,25,19,24,12,32,22,02,06,,,,
55,56,A,3,8,2.27,1.22,1.92,25,19,24,12,32,22,02,06,,,,
56,57,A,3,8,2.48,1.23,2.15,25,19,24,12,32,22,02,06,,,,
57,58,A,3,8,2.27,1.21,1.92,25,19,24,12,32,22,02,06,,,,
58,59,A,3,8,2.48,1.23,2.15,25,19,24,12,32,22,02,06,,,,
59,60,A,3,8,2.27,1.21,1.91,25,19,24,12,32,22,02,06,,,,
60,61,A,3,8,2.26,1.21,1.91,25,19,24,12,32,22,02,06,,,,
61,62,A,3,8,2.26,1.21,1.91,25,19,24,12,32,22,02,06,,,,
62,63,A,3,8,2.32,1.29,1.93,25,19,24,12,32,22,02,06,,,,
63,64,A,3,8,2.59,1.29,2.25,25,19,24,12,32,22,02,06,,,,
64,65,A,3,8,2.26,1.21,1.91,25,19,24,12,32,22,02,06,,,,
65,66,A,3,8,2.31,1.29,1.92,25,19,24,12,32,22,02,06,,,,
66,67,A,3,7,2.36,1.36,1.92,25,19,24,12,32,22,02,,,,,
67,68,A,3,7,2.31,1.30,1.90,25,19,24,12,32,22,02,,,,,
68,69,A,3,7,3.15,1.81,2.59,25,19,24,12,32,22,02,,,,,
69,70,A,3,7,3.15,1.80,2.59,25,19,24,12,32,22,02,,,,,
70,71,A,3,8,2.59,1.28,2.24,25,19,24,12,32,22,02,06,,,,
71,72,A,3,8,2.59,1.28,2.24,25,19,24,12,32,22,02,06,,,,
72,73,A,3,7,2.45,1.41,2.00,25,19,24,12,22,02,06,,,,,
73,74,A,3,8,2.44,1.41,2.00,25,19,24,12,32,22,02,06,,,,
74,75,A,3,8,2.39,1.34,1.98,25,19,24,12,32,22,02,06,,,,
75,76,A,3,8,2.39,1.34,1.98,25,19,24,12,32,22,02,06,,,,
76,77,A,3,8,2.39,1.34,1.98,25,19,24,12,32,22,02,06,,,,
77,78,A,3,8,2.24,1.20,1.88,25,19,24,12,32,22,02,06,,,,
78,79,A,3,8,2.23,1.20,1.88,25,19,24,12,32,22,02,06,,,,
79,80,A,3,8,2.23,1.20,1.88,25,19,24,12,32,22,02,06,,,,
80,81,A,3,8,2.23,1.20,1.88,25,19,24,12,32,22,02,06,,,,
81,82,A,3,8,2.28,1.29,1.88,25,19,24,12,32,22,02,06,,,,
82,83,A,3,8,2.23,1.20,1.88,25,19,24,12,32,22,02,06,,,,
83,84,A,3,8,2.95,1.79,2.35,25,19,24,12,32,22,02,06,,,,
84,85,A,3,8,2.95,1.79,2.34,25,19,24,12,32,22,02,06,,,,
85,86,A,3,8,2.22,1.20,1.87,25,19,24,12,32,22,02,06,,,,
86,87,A,3,8,2.22,1.20,1.87,25,19,24,12,32,22,02,06,,,,
87,88,A,3,8,2.22,1.20,1.87,25,19,24,12,32,22,02,06,,,,
